Payment_ID,Order_ID,Payment_Code,Payment_Method,Total_Amount,Payment_Status
49,OR1034,Card,Debit Card,834.75,Refunded
50,OR1035,Mobile Wallets,Amazon Pay,2087.33,Paid
51,OR1036,Card,Debit Card,3892.82,Cancelled
52,OR1037,Banking,EMI Card,280.00,Paid
53,OR1038,Banking,Net Banking,1866.70,Paid
54,OR1039,Banking,EMI Card,352.82,Paid
55,OR104,Banking,EMI Card,59850.54,Refunded
56,OR1040,Mobile Wallets,Paytm Wallet,14522.18,Paid
57,OR1041,Cash & COD,Card On Delivery,3537.64,Payment Pending
58,OR1042,Banking,IMPS,554597.64,Paid
59,OR1043,Banking,Net Banking,9770.61,Failed
60,OR1044,Banking,UPI,9162.42,Paid
61,OR1045,Card,Debit Card,1676.64,Paid
62,OR1046,Cash & COD,Cash On Delivery,16128.49,Payment Pending
63,OR1047,Mobile Wallets,Amazon Pay,92639.46,Paid
64,OR1048,Banking,Net Banking,13964.86,Paid
65,OR1049,Banking,Net Banking,445.76,Paid
66,OR105,Mobile Wallets,MobiKwik,588.82,Paid
67,OR1050,Mobile Wallets,PhonePe Wallet,215862.47,Paid
68,OR1051,Mobile Wallets,MobiKwik,11708.16,Paid
69,OR1052,Mobile Wallets,Freecharge,88805.10,Cancelled
70,OR1053,Card,Debit Card,180648.09,Paid
71,OR1054,Cash & COD,Cash On Delivery,15337.64,Unpaid
72,OR1055,Card,Prepaid Card,79754.22,Paid
73,OR1056,Mobile Wallets,PhonePe Wallet,17698.82,Paid
74,OR1057,Banking,UPI,5196.16,Paid
75,OR1058,Card,Debit Card,5507.06,Cancelled
76,OR1059,Cash & COD,Card On Delivery,102178.56,Payment Pending
77,OR106,Mobile Wallets,Amazon Pay,11733.12,Refunded
78,OR1060,Mobile Wallets,PhonePe Wallet,8957.76,Paid
79,OR1061,Mobile Wallets,Amazon Pay,147475.92,Paid
80,OR1062,Mobile Wallets,MobiKwik,4655.70,Paid
81,OR1063,Banking,Net Banking,2121.64,Cancelled
82,OR1064,Card,Prepaid Card,2097.90,Paid
83,OR1065,Cash & COD,Card On Delivery,4095.34,Partially Paid
84,OR1066,Mobile Wallets,MobiKwik,27724.10,Cancelled
85,OR1067,Mobile Wallets,PhonePe Wallet,103937.16,Refunded
86,OR1068,Mobile Wallets,Amazon Pay,230.10,Paid
87,OR1069,Mobile Wallets,Freecharge,16906.60,Paid
88,OR107,Mobile Wallets,Paytm Wallet,101316.22,Paid
89,OR1070,Mobile Wallets,PhonePe Wallet,35626.22,Paid
90,OR1071,Banking,EMI Card,782.88,Paid
91,OR1072,Card,Credit Card,106662.56,Paid
92,OR1073,Card,Debit Card,2475.64,Paid
93,OR1074,Banking,Net Banking,13921.64,Paid
94,OR1075,Cash & COD,Cash On Delivery,67257.64,Payment Pending
95,OR1076,Card,Credit Card,24418.92,Paid
96,OR1077,Mobile Wallets,PhonePe Wallet,9041.92,Paid
97,OR1078,Card,Debit Card,28605.56,Paid
98,OR1079,Banking,IMPS,9191.92,Failed
99,OR108,Mobile Wallets,Freecharge,158139.21,Paid
100,OR1080,Banking,UPI,55943.90,Paid
101,OR1081,Mobile Wallets,MobiKwik,15421.64,Paid
102,OR1082,Card,Credit Card,9967.65,Paid
103,OR1083,Card,Prepaid Card,115152.86,Cancelled
104,OR1084,Banking,Net Banking,47219.46,Paid
105,OR1085,Card,Credit Card,93518.88,Refunded
106,OR1086,Mobile Wallets,PhonePe Wallet,53309.22,Paid
107,OR1087,Card,Prepaid Card,1945.82,Cancelled
108,OR1088,Cash & COD,Card On Delivery,25959.22,Payment Pending
109,OR1089,Card,Credit Card,186437.64,Paid
110,OR109,Mobile Wallets,Amazon Pay,5976.58,Cancelled
111,OR1090,Card,Prepaid Card,942.82,Paid
112,OR1091,Card,Prepaid Card,2352.92,Cancelled
113,OR1092,Banking,Net Banking,45192.82,Paid
114,OR1093,Mobile Wallets,PhonePe Wallet,4364.64,Cancelled
115,OR1094,Mobile Wallets,MobiKwik,26431.55,Paid
116,OR1095,Card,Credit Card,51356.65,Paid
117,OR1096,Banking,IMPS,213670.53,Paid
118,OR1097,Banking,IMPS,32894.86,Paid
119,OR1098,Mobile Wallets,PhonePe Wallet,2730.63,Paid
120,OR1099,Mobile Wallets,PhonePe Wallet,44845.56,Refunded
121,OR11,Banking,Net Banking,18878.82,Paid
122,OR110,Mobile Wallets,Paytm Wallet,111903.40,Paid
123,OR1100,Mobile Wallets,Paytm Wallet,17842.41,Paid
124,OR1101,Mobile Wallets,Freecharge,329659.20,Paid
125,OR1102,Cash & COD,Card On Delivery,6855.38,Failed
126,OR1103,Banking,EMI Card,210021.12,Paid
127,OR1104,Cash & COD,Card On Delivery,91830.24,Payment Pending
128,OR1105,Banking,Net Banking,9402.54,Paid
129,OR1106,Card,Debit Card,2516.64,Refunded
130,OR1107,Card,Debit Card,12386.46,Paid
131,OR1108,Card,Credit Card,48316.28,Refunded
132,OR1109,Mobile Wallets,Paytm Wallet,1341.76,Refunded
133,OR111,Card,Debit Card,138591.21,Paid
134,OR1110,Cash & COD,Card On Delivery,6521.76,Unpaid
135,OR1111,Mobile Wallets,MobiKwik,29024.46,Paid
136,OR1112,Banking,UPI,117498.36,Refunded
137,OR1113,Card,Credit Card,5258.40,Refunded
138,OR1114,Banking,UPI,5098.78,Paid
139,OR1115,Banking,UPI,10435.04,Paid
140,OR1116,Mobile Wallets,Amazon Pay,10675.91,Cancelled
141,OR1117,Card,Credit Card,6296.28,Paid
142,OR1118,Mobile Wallets,MobiKwik,2755.30,Refunded
143,OR1119,Mobile Wallets,PhonePe Wallet,10623.45,Paid
144,OR112,Banking,IMPS,204414.92,Paid
145,OR1120,Mobile Wallets,Freecharge,19750.86,Paid
146,OR1121,Cash & COD,Card On Delivery,45918.88,Refunded
147,OR1122,Cash & COD,Cash On Delivery,470.82,Cancelled
148,OR1123,Banking,EMI Card,1610.72,Refunded
149,OR1124,Mobile Wallets,Paytm Wallet,333.76,Paid
150,OR1125,Banking,IMPS,14438.34,Paid
151,OR1126,Banking,IMPS,8478.62,Paid
152,OR1127,Mobile Wallets,Freecharge,17696.46,Paid
153,OR1128,Card,Credit Card,77402.10,Failed
154,OR1129,Cash & COD,Cash On Delivery,5432.55,Payment Pending
155,OR113,Cash & COD,Card On Delivery,29576.62,Partially Paid
156,OR1130,Mobile Wallets,PhonePe Wallet,13317.22,Failed
157,OR1131,Mobile Wallets,Amazon Pay,802.40,Cancelled
158,OR1132,Mobile Wallets,Freecharge,5481.34,Paid
159,OR1133,Mobile Wallets,Amazon Pay,44828.20,Paid
160,OR1134,Cash & COD,Card On Delivery,823.64,Refunded
161,OR1135,Card,Credit Card,230576.31,Paid
162,OR1136,Card,Prepaid Card,3581.76,Paid
163,OR1137,Card,Debit Card,6663.46,Paid
164,OR1138,Banking,UPI,666925.38,Refunded
165,OR1139,Banking,Net Banking,5777.28,Cancelled
166,OR114,Banking,Net Banking,4560.90,Paid
167,OR1140,Banking,UPI,3601.70,Paid
168,OR1141,Card,Credit Card,63761.02,Paid
169,OR1142,Banking,Net Banking,2307.90,Refunded
170,OR1143,Banking,EMI Card,113751.86,Refunded
171,OR1144,Card,Debit Card,4253.76,Paid
172,OR1145,Banking,IMPS,52656.60,Refunded
173,OR1146,Banking,UPI,1337.97,Paid
174,OR1147,Mobile Wallets,Amazon Pay,2778.22,Refunded
175,OR1148,Cash & COD,Card On Delivery,51105.86,Payment Pending
176,OR1149,Banking,UPI,226597.94,Paid
177,OR115,Banking,IMPS,2925.52,Paid
178,OR1150,Banking,IMPS,2274.16,Refunded
179,OR1151,Mobile Wallets,PhonePe Wallet,58692.16,Paid
180,OR1152,Banking,EMI Card,30910.00,Paid
181,OR1153,Mobile Wallets,MobiKwik,5793.85,Paid
182,OR1154,Card,Prepaid Card,223634.46,Paid
183,OR1155,Card,Debit Card,706.82,Refunded
184,OR1156,Mobile Wallets,Paytm Wallet,8271.26,Paid
185,OR1157,Mobile Wallets,Amazon Pay,6764.14,Paid
186,OR1158,Card,Prepaid Card,40435.76,Paid
187,OR1159,Cash & COD,Card On Delivery,6083.46,Payment Pending
188,OR116,Card,Credit Card,27404.58,Paid
189,OR1160,Banking,EMI Card,85007.39,Cancelled
190,OR1161,Cash & COD,Cash On Delivery,824.82,Payment Pending
191,OR1162,Banking,IMPS,141724.80,Paid
192,OR1163,Mobile Wallets,MobiKwik,24177.02,Paid
193,OR1164,Banking,EMI Card,6610.09,Refunded
194,OR1165,Cash & COD,Card On Delivery,39127.62,Refunded
195,OR1166,Card,Credit Card,16194.46,Paid
196,OR1167,Mobile Wallets,PhonePe Wallet,120356.04,Refunded
197,OR1168,Banking,EMI Card,158291.10,Paid
198,OR1169,Card,Credit Card,5271.46,Cancelled
199,OR117,Card,Credit Card,252890.24,Paid
200,OR1170,Mobile Wallets,MobiKwik,56695.46,Paid
201,OR1171,Banking,IMPS,1766.46,Paid
202,OR1172,Banking,Net Banking,106224.85,Paid
203,OR1173,Banking,EMI Card,518427.10,Paid
204,OR1174,Mobile Wallets,MobiKwik,3266.76,Paid
205,OR1175,Mobile Wallets,MobiKwik,1676.64,Paid
206,OR1176,Banking,UPI,56987.28,Paid
207,OR1177,Banking,IMPS,17777.88,Paid
208,OR1178,Banking,IMPS,37156.62,Paid
209,OR1179,Mobile Wallets,MobiKwik,293.82,Paid
210,OR118,Mobile Wallets,Freecharge,19327.10,Paid
211,OR1180,Mobile Wallets,Freecharge,31423.40,Paid
212,OR1181,Cash & COD,Card On Delivery,173.25,Payment Pending
213,OR1182,Banking,EMI Card,7495.70,Paid
214,OR1183,Banking,Net Banking,31007.86,Paid
215,OR1184,Cash & COD,Card On Delivery,57892.82,Cancelled
216,OR1185,Banking,IMPS,107520.00,Refunded
217,OR1186,Cash & COD,Cash On Delivery,7388.64,Payment Pending
218,OR1187,Banking,UPI,7771.10,Paid
219,OR1188,Banking,EMI Card,62.00,Paid
220,OR1189,Cash & COD,Cash On Delivery,293.82,Failed
221,OR119,Banking,EMI Card,34806.46,Paid
222,OR1190,Mobile Wallets,PhonePe Wallet,198.45,Paid
223,OR1191,Mobile Wallets,Freecharge,16512.36,Paid
224,OR1192,Cash & COD,Card On Delivery,11178.48,Payment Pending
225,OR1193,Banking,IMPS,81909.60,Paid
226,OR1194,Cash & COD,Card On Delivery,4050.66,Payment Pending
227,OR1195,Banking,Net Banking,1381.79,Refunded
228,OR1196,Card,Debit Card,51326.46,Paid
229,OR1197,Mobile Wallets,Amazon Pay,16280.46,Paid
230,OR1198,Cash & COD,Card On Delivery,669.76,Payment Pending
231,OR1199,Cash & COD,Cash On Delivery,4126.46,Cancelled
232,OR12,Card,Credit Card,21823.20,Paid
233,OR120,Card,Credit Card,8175.22,Paid
234,OR1200,Cash & COD,Cash On Delivery,172630.46,Payment Pending
235,OR1201,Banking,Net Banking,12721.51,Paid
236,OR1202,Banking,Net Banking,5981.85,Paid
237,OR1203,Mobile Wallets,Paytm Wallet,11335.46,Paid
238,OR1204,Mobile Wallets,MobiKwik,152170.30,Paid
239,OR1205,Banking,EMI Card,107490.92,Failed
240,OR1206,Banking,IMPS,8400.73,Paid
241,OR1207,Banking,IMPS,106164.60,Paid
242,OR1208,Banking,Net Banking,29337.42,Paid
243,OR1209,Mobile Wallets,Freecharge,1885.64,Paid
244,OR121,Mobile Wallets,MobiKwik,10261.28,Paid
245,OR1210,Mobile Wallets,PhonePe Wallet,221740.68,Cancelled
246,OR1211,Card,Prepaid Card,28990.46,Paid
247,OR1212,Card,Credit Card,100298.82,Paid
248,OR1213,Card,Credit Card,101721.60,Paid
249,OR1214,Banking,UPI,1413.64,Paid
250,OR1215,Banking,IMPS,8965.64,Paid
251,OR1216,Mobile Wallets,Paytm Wallet,77129.52,Paid
252,OR1217,Banking,UPI,1004.57,Paid
253,OR1218,Banking,IMPS,250617.75,Paid
254,OR1219,Banking,UPI,28446.34,Paid
255,OR122,Banking,EMI Card,131541.68,Paid
256,OR1220,Mobile Wallets,Paytm Wallet,1004.64,Cancelled
257,OR1221,Card,Prepaid Card,16396.98,Failed
258,OR1222,Card,Debit Card,21852.42,Paid
259,OR1223,Banking,Net Banking,24939.87,Paid
260,OR1224,Card,Debit Card,42480.00,Paid
261,OR1225,Mobile Wallets,Freecharge,1789.76,Paid
262,OR1226,Mobile Wallets,Amazon Pay,7668.82,Cancelled
263,OR1227,Mobile Wallets,Amazon Pay,2610.42,Paid
264,OR1228,Card,Credit Card,70796.46,Refunded
265,OR1229,Mobile Wallets,MobiKwik,3302.82,Paid
266,OR123,Banking,EMI Card,57199.96,Refunded
267,OR1230,Mobile Wallets,Amazon Pay,237180.00,Paid
268,OR1231,Cash & COD,Cash On Delivery,4631.91,Unpaid
269,OR1232,Mobile Wallets,Paytm Wallet,203050.58,Paid
270,OR1233,Card,Debit Card,135359.46,Paid
271,OR1234,Card,Prepaid Card,3538.82,Refunded
272,OR1235,Card,Credit Card,1532.82,Paid
273,OR1236,Banking,EMI Card,42905.16,Paid
274,OR1237,Banking,Net Banking,171238.80,Paid
275,OR1238,Banking,IMPS,2122.82,Failed
276,OR1239,Banking,Net Banking,6840.98,Failed
277,OR124,Mobile Wallets,Freecharge,30078.72,Paid
278,OR1240,Mobile Wallets,Freecharge,51100.43,Cancelled
279,OR1241,Card,Credit Card,3423.94,Cancelled
280,OR1242,Banking,IMPS,11797.64,Paid
281,OR1243,Card,Credit Card,12619.84,Paid
282,OR1244,Cash & COD,Card On Delivery,35931.50,Payment Pending
283,OR1245,Banking,UPI,163279.22,Paid
284,OR1246,Banking,Net Banking,38284.05,Paid
285,OR1247,Cash & COD,Cash On Delivery,4598.46,Partially Paid
286,OR1248,Mobile Wallets,PhonePe Wallet,92987.08,Paid
287,OR1249,Mobile Wallets,Paytm Wallet,8987.22,Cancelled
288,OR125,Mobile Wallets,Freecharge,4988.28,Failed
289,OR1250,Cash & COD,Cash On Delivery,916.86,Cancelled
290,OR1251,Card,Prepaid Card,24235.86,Paid
291,OR1252,Banking,Net Banking,15764.85,Paid
292,OR1253,Banking,EMI Card,42462.30,Paid
293,OR1254,Card,Prepaid Card,6306.58,Paid
294,OR1255,Mobile Wallets,Freecharge,34572.82,Paid
295,OR1256,Mobile Wallets,Amazon Pay,8002.53,Refunded
296,OR1257,Banking,EMI Card,8933.93,Paid
297,OR1258,Cash & COD,Cash On Delivery,55434.74,Payment Pending
298,OR1259,Cash & COD,Card On Delivery,35433.26,Payment Pending
299,OR126,Card,Debit Card,119154.29,Paid
300,OR1260,Mobile Wallets,Amazon Pay,6740.19,Refunded
301,OR1261,Banking,EMI Card,53241.60,Paid
302,OR1262,Mobile Wallets,MobiKwik,17696.46,Paid
303,OR1263,Mobile Wallets,Paytm Wallet,1342.88,Paid
304,OR1264,Banking,Net Banking,238170.96,Paid
305,OR1265,Banking,EMI Card,7549.64,Paid
306,OR1266,Card,Debit Card,669.76,Refunded
307,OR1267,Cash & COD,Cash On Delivery,99085.78,Payment Pending
308,OR1268,Card,Debit Card,9193.04,Paid
309,OR1269,Banking,IMPS,5351.85,Paid
310,OR127,Mobile Wallets,Amazon Pay,206342.18,Paid
311,OR1270,Card,Prepaid Card,1099.35,Paid
312,OR1271,Mobile Wallets,Paytm Wallet,22379.72,Paid
313,OR1272,Card,Credit Card,39644.46,Paid
314,OR1273,Mobile Wallets,Amazon Pay,502.88,Refunded
315,OR1274,Banking,EMI Card,13418.83,Paid
316,OR1275,Card,Prepaid Card,893.76,Paid
317,OR1276,Cash & COD,Card On Delivery,1176.46,Payment Pending
318,OR1277,Cash & COD,Cash On Delivery,378.85,Payment Pending
319,OR1278,Card,Credit Card,120613.70,Paid
320,OR1279,Mobile Wallets,Amazon Pay,3322.58,Paid
321,OR128,Card,Prepaid Card,72310.16,Refunded
322,OR1280,Card,Debit Card,2594.82,Paid
323,OR1281,Mobile Wallets,Amazon Pay,4700.64,Paid
324,OR1282,Banking,EMI Card,173833.97,Paid
325,OR1283,Card,Debit Card,322546.70,Paid
326,OR1284,Cash & COD,Card On Delivery,9318.46,Payment Pending
327,OR1285,Card,Debit Card,70797.64,Paid
328,OR1286,Banking,IMPS,37757.64,Paid
329,OR1287,Cash & COD,Cash On Delivery,4143.96,Unpaid
330,OR1288,Mobile Wallets,MobiKwik,32468.80,Paid
331,OR1289,Banking,IMPS,3087.94,Paid
332,OR129,Mobile Wallets,PhonePe Wallet,25512.78,Failed
333,OR1290,Card,Debit Card,113906.59,Paid
334,OR1291,Mobile Wallets,Paytm Wallet,23830.10,Paid
335,OR1292,Mobile Wallets,MobiKwik,101580.54,Paid
336,OR1293,Banking,UPI,19065.92,Paid
337,OR1294,Mobile Wallets,PhonePe Wallet,17398.86,Paid
338,OR1295,Card,Debit Card,32243.55,Paid
339,OR1296,Mobile Wallets,Freecharge,111506.46,Paid
340,OR1297,Banking,IMPS,6801.99,Paid
341,OR1298,Mobile Wallets,Paytm Wallet,2361.52,Cancelled
342,OR1299,Card,Credit Card,6285.16,Failed
343,OR13,Banking,Net Banking,2097.00,Refunded
344,OR130,Banking,Net Banking,95564.64,Paid
345,OR1300,Mobile Wallets,Paytm Wallet,11034.65,Paid
346,OR1301,Banking,EMI Card,2909.76,Paid
347,OR1302,Banking,IMPS,51517.76,Failed
348,OR1303,Cash & COD,Cash On Delivery,7057.10,Payment Pending
349,OR1304,Cash & COD,Cash On Delivery,8818.53,Payment Pending
350,OR1305,Card,Credit Card,7604.44,Paid
351,OR1306,Mobile Wallets,Paytm Wallet,2308.95,Failed
352,OR1307,Cash & COD,Cash On Delivery,8197.46,Payment Pending
353,OR1308,Card,Debit Card,2461.76,Paid
354,OR1309,Mobile Wallets,Amazon Pay,9673.64,Paid
355,OR131,Banking,EMI Card,6505.34,Paid
356,OR1310,Card,Debit Card,447.22,Failed
357,OR1311,Banking,IMPS,143081.98,Paid
358,OR1312,Mobile Wallets,PhonePe Wallet,1887.90,Paid
359,OR1313,Banking,EMI Card,5470.58,Paid
360,OR1314,Mobile Wallets,PhonePe Wallet,37601.32,Paid
361,OR1315,Banking,EMI Card,47786.46,Failed
362,OR1316,Mobile Wallets,MobiKwik,36694.46,Paid
363,OR1317,Cash & COD,Card On Delivery,60176.46,Payment Pending
364,OR1318,Banking,EMI Card,925.97,Failed
365,OR1319,Mobile Wallets,PhonePe Wallet,6649.44,Paid
366,OR132,Card,Credit Card,7006.04,Paid
367,OR1320,Card,Debit Card,1565.76,Paid
368,OR1321,Mobile Wallets,PhonePe Wallet,12592.51,Paid
369,OR1322,Card,Debit Card,242353.88,Paid
370,OR1323,Cash & COD,Card On Delivery,12880.64,Payment Pending
371,OR1324,Banking,UPI,27244.52,Paid
372,OR1325,Mobile Wallets,Freecharge,355818.50,Paid
373,OR1326,Banking,Net Banking,61289.20,Paid
374,OR1327,Banking,IMPS,15197.92,Paid
375,OR1328,Card,Credit Card,342.20,Cancelled
376,OR1329,Cash & COD,Cash On Delivery,6487.65,Refunded
377,OR133,Mobile Wallets,Paytm Wallet,6437.49,Paid
378,OR1330,Mobile Wallets,Amazon Pay,85680.51,Paid
379,OR1331,Card,Credit Card,2297.46,Paid
380,OR1332,Banking,IMPS,3890.60,Failed
381,OR1333,Card,Debit Card,6484.88,Paid
382,OR1334,Mobile Wallets,PhonePe Wallet,12032.46,Paid
383,OR1335,Cash & COD,Card On Delivery,1414.82,Payment Pending
384,OR1336,Mobile Wallets,Amazon Pay,47311.88,Paid
385,OR1337,Banking,Net Banking,12386.46,Failed
386,OR1338,Banking,UPI,5424.46,Paid
387,OR1339,Card,Debit Card,6117.51,Paid
388,OR134,Banking,EMI Card,15517.51,Paid
389,OR1340,Banking,UPI,30773.22,Refunded
390,OR1341,Card,Credit Card,51300.50,Failed
391,OR1342,Card,Prepaid Card,5289.46,Paid
392,OR1343,Card,Debit Card,1342.88,Paid
393,OR1344,Mobile Wallets,Freecharge,1118.88,Paid
394,OR1345,Banking,IMPS,34888.75,Paid
395,OR1346,Card,Prepaid Card,41877.02,Failed
396,OR1347,Mobile Wallets,MobiKwik,11538.04,Paid
397,OR1348,Card,Debit Card,69715.49,Paid
398,OR1349,Banking,UPI,8030.91,Paid
399,OR135,Mobile Wallets,Paytm Wallet,12361.28,Paid
400,OR1350,Card,Debit Card,70569.66,Paid
401,OR1351,Banking,EMI Card,9031.46,Refunded
402,OR1352,Card,Debit Card,273461.91,Paid
403,OR1353,Cash & COD,Card On Delivery,3753.54,Payment Pending
404,OR1354,Card,Prepaid Card,19250.55,Paid
405,OR1355,Mobile Wallets,Amazon Pay,5036.64,Paid
406,OR1356,Card,Prepaid Card,706.82,Paid
407,OR1357,Card,Prepaid Card,6994.86,Paid
408,OR1358,Mobile Wallets,Paytm Wallet,62221.34,Paid
409,OR1359,Mobile Wallets,Amazon Pay,3357.76,Cancelled
410,OR136,Cash & COD,Cash On Delivery,364647.13,Payment Pending
411,OR1360,Banking,UPI,4057.76,Paid
412,OR1361,Banking,EMI Card,36565.84,Refunded
413,OR1362,Banking,Net Banking,61796.91,Paid
414,OR1363,Cash & COD,Card On Delivery,6307.10,Payment Pending
415,OR1364,Cash & COD,Cash On Delivery,4364.64,Refunded
416,OR1365,Mobile Wallets,MobiKwik,2484.58,Paid
417,OR1366,Card,Prepaid Card,6346.21,Paid
418,OR1367,Cash & COD,Cash On Delivery,10496.10,Cancelled
419,OR1368,Mobile Wallets,Amazon Pay,6488.82,Failed
420,OR1369,Cash & COD,Card On Delivery,352.82,Payment Pending
421,OR137,Cash & COD,Cash On Delivery,118109.18,Payment Pending
422,OR1370,Mobile Wallets,Paytm Wallet,116812.47,Paid
423,OR1371,Banking,EMI Card,13436.64,Paid
424,OR1372,Mobile Wallets,MobiKwik,14630.35,Paid
425,OR1373,Mobile Wallets,Amazon Pay,36661.16,Paid
426,OR1374,Mobile Wallets,Paytm Wallet,24422.46,Refunded
427,OR1375,Banking,UPI,4807.40,Failed
428,OR1376,Cash & COD,Cash On Delivery,10968.10,Payment Pending
429,OR1377,Cash & COD,Cash On Delivery,59467.48,Unpaid
430,OR1378,Cash & COD,Cash On Delivery,8846.46,Payment Pending
431,OR1379,Banking,EMI Card,242013.26,Cancelled
432,OR138,Mobile Wallets,PhonePe Wallet,86261.01,Paid
433,OR1380,Banking,Net Banking,2124.64,Paid
434,OR1381,Banking,Net Banking,15932.22,Paid
435,OR1382,Cash & COD,Card On Delivery,5386.25,Payment Pending
436,OR1383,Mobile Wallets,Amazon Pay,8504.52,Cancelled
437,OR1384,Mobile Wallets,MobiKwik,668.64,Paid
438,OR1385,Mobile Wallets,MobiKwik,895.62,Paid
439,OR1386,Mobile Wallets,MobiKwik,16298.58,Paid
440,OR1387,Mobile Wallets,MobiKwik,20058.82,Paid
441,OR1388,Mobile Wallets,PhonePe Wallet,23863.62,Failed
442,OR1389,Card,Debit Card,17654.28,Failed
443,OR139,Banking,IMPS,79688.56,Paid
444,OR1390,Mobile Wallets,Freecharge,3705.94,Cancelled
445,OR1391,Mobile Wallets,MobiKwik,33868.22,Paid
446,OR1392,Mobile Wallets,Freecharge,56687.18,Failed
447,OR1393,Card,Credit Card,234.82,Paid
448,OR1394,Mobile Wallets,Freecharge,2282.28,Paid
449,OR1395,Card,Credit Card,8493.64,Paid
450,OR1396,Banking,UPI,7525.42,Paid
451,OR1397,Mobile Wallets,Freecharge,131995.84,Paid
452,OR1398,Card,Prepaid Card,212397.64,Refunded
453,OR1399,Mobile Wallets,Amazon Pay,16057.39,Refunded
454,OR14,Cash & COD,Cash On Delivery,20571.04,Failed
455,OR140,Mobile Wallets,Paytm Wallet,21762.25,Paid
456,OR1400,Card,Debit Card,14404.11,Paid
457,OR1401,Cash & COD,Card On Delivery,24315.24,Unpaid
458,OR1402,Card,Credit Card,23612.96,Paid
459,OR1403,Mobile Wallets,MobiKwik,824.82,Paid
460,OR1404,Banking,EMI Card,141590.00,Paid
461,OR1405,Mobile Wallets,Amazon Pay,3242.64,Refunded
462,OR1406,Banking,EMI Card,121159.26,Paid
463,OR1407,Mobile Wallets,Paytm Wallet,6679.98,Paid
464,OR1408,Banking,UPI,100764.82,Paid
465,OR1409,Mobile Wallets,Freecharge,12202.52,Paid
466,OR141,Mobile Wallets,MobiKwik,203498.42,Paid
467,OR1410,Banking,EMI Card,2240.82,Refunded
468,OR1411,Cash & COD,Card On Delivery,54121.88,Payment Pending
469,OR1412,Mobile Wallets,MobiKwik,371816.09,Paid
470,OR1413,Banking,Net Banking,10302.28,Paid
471,OR1414,Cash & COD,Cash On Delivery,1414.82,Payment Pending
472,OR1415,Mobile Wallets,Freecharge,56636.46,Paid
473,OR1416,Cash & COD,Cash On Delivery,86529.36,Payment Pending
474,OR1417,Card,Prepaid Card,3485.57,Paid
475,OR1418,Mobile Wallets,MobiKwik,6569.46,Paid
