Order_ID,Customer_ID,Order_Date,Order_Total,Order_Status
OR1034,C0200,2025/02/19,834.75,Refunded
OR1035,C0572,2024/09/14,2087.33,Confirmed 
OR1036,C0236,2022/08/11,3892.82,Cancelled
OR1037,C0296,2025/04/02,280.00,Delivered
OR1038,C0168,2025/01/11,1866.70,Out for Delivery
OR1039,C0913,2025/02/11,352.82,Delivered
OR104,C0316,2022/11/23,59850.54,Return
OR1040,C0522,2023/02/14,14522.18,Confirmed 
OR1041,C1839,2023/06/25,3537.64,Processing
OR1042,C1564,2022/07/28,554597.64,Delivered
OR1043,C0152,2022/07/16,9770.61,Failed
OR1044,C0097,2023/05/08,9162.42,On Hold
OR1045,C1714,2023/03/21,1676.64,Pending
OR1046,C1154,2024/08/13,16128.49,Delivered
OR1047,C1537,2024/06/07,92639.46,Return
OR1048,C0864,2023/01/15,13964.86,Processing
OR1049,C1780,2023/11/06,445.76,Confirmed 
OR105,C0996,2024/04/18,588.82,On Hold
OR1050,C0620,2024/07/18,215862.47,Out for Delivery
OR1051,C0787,2022/07/08,11708.16,Delivered
OR1052,C0550,2025/03/13,88805.10,Cancelled
OR1053,C0437,2023/03/16,180648.09,Partially Shipped
OR1054,C0655,2022/01/06,15337.64,Return
OR1055,C1531,2022/12/22,79754.22,Out for Delivery
OR1056,C0862,2022/08/15,17698.82,Processing
OR1057,C0803,2023/10/02,5196.16,Pending
OR1058,C1816,2023/04/19,5507.06,Cancelled
OR1059,C0585,2023/02/21,102178.56,Out for Delivery
OR106,C0297,2022/04/19,11733.12,Return
OR1060,C1372,2024/07/07,8957.76,Partially Shipped
OR1061,C0997,2024/01/09,147475.92,Partially Shipped
OR1062,C1082,2023/12/05,4655.70,Partially Shipped
OR1063,C0973,2024/09/15,2121.64,Cancelled
OR1064,C1454,2023/10/03,2097.90,Shipped
OR1065,C0931,2024/06/28,4095.34,Partially Delivered
OR1066,C0558,2025/01/11,27724.10,Cancelled
OR1067,C0839,2024/10/21,103937.16,Refunded
OR1068,C0465,2022/05/08,230.10,Shipped
OR1069,C0500,2023/10/11,16906.60,Return
OR107,C0869,2023/12/13,101316.22,Partially Shipped
OR1070,C0211,2023/01/13,35626.22,On Hold
OR1071,C0565,2024/06/14,782.88,Out for Delivery
OR1072,C1328,2022/06/09,106662.56,Confirmed 
OR1073,C0206,2023/11/21,2475.64,Out for Delivery
OR1074,C1416,2025/03/06,13921.64,On Hold
OR1075,C0794,2023/07/17,67257.64,Out for Delivery
OR1076,C0447,2022/05/15,24418.92,Partially Delivered
OR1077,C0176,2023/05/15,9041.92,Partially Shipped
OR1078,C0039,2023/11/12,28605.56,Partially Delivered
OR1079,C0558,2022/09/09,9191.92,Failed
OR108,C0179,2024/08/21,158139.21,Processing
OR1080,C0274,2024/02/07,55943.90,Partially Delivered
OR1081,C0312,2023/07/04,15421.64,On Hold
OR1082,C2000,2023/02/25,9967.65,On Hold
OR1083,C0372,2022/05/29,115152.86,Cancelled
OR1084,C1717,2023/09/09,47219.46,Partially Shipped
OR1085,C0089,2024/10/14,93518.88,Refunded
OR1086,C0205,2024/12/07,53309.22,Confirmed 
OR1087,C0978,2024/02/10,1945.82,Cancelled
OR1088,C0822,2022/05/25,25959.22,Pending
OR1089,C0192,2024/09/19,186437.64,Pending
OR109,C0704,2022/12/31,5976.58,Cancelled
OR1090,C1824,2022/03/22,942.82,Shipped
OR1091,C0223,2024/07/30,2352.92,Cancelled
OR1092,C1388,2025/02/13,45192.82,Confirmed 
OR1093,C0986,2023/04/11,4364.64,Cancelled
OR1094,C0740,2023/08/12,26431.55,Processing
OR1095,C0181,2022/04/29,51356.65,Return
OR1096,C1692,2023/02/15,213670.53,Pending
OR1097,C0615,2022/08/16,32894.86,On Hold
OR1098,C1802,2024/01/30,2730.63,Processing
OR1099,C0402,2024/03/24,44845.56,Refunded
OR11,C0363,2023/07/25,18878.82,Delivered
OR110,C0743,2025/06/07,111903.40,Confirmed 
OR1100,C0149,2023/05/29,17842.41,Partially Shipped
OR1101,C1115,2023/08/19,329659.20,Partially Shipped
OR1102,C0812,2024/01/30,6855.38,Failed
OR1103,C0805,2025/01/04,210021.12,Delivered
OR1104,C0851,2025/02/05,91830.24,Pending
OR1105,C1413,2024/06/01,9402.54,Out for Delivery
OR1106,C0510,2024/07/05,2516.64,Refunded
OR1107,C0375,2022/11/28,12386.46,Out for Delivery
OR1108,C0833,2025/02/12,48316.28,Return
OR1109,C1668,2022/06/02,1341.76,Return
OR111,C0355,2023/10/26,138591.21,Pending
OR1110,C0925,2025/05/30,6521.76,Return
OR1111,C1790,2025/04/26,29024.46,On Hold
OR1112,C0046,2023/07/11,117498.36,Return
OR1113,C1896,2023/01/08,5258.40,Refunded
OR1114,C1952,2023/10/30,5098.78,Pending
OR1115,C1299,2022/05/31,10435.04,Return
OR1116,C1716,2022/10/02,10675.91,Cancelled
OR1117,C0485,2024/05/23,6296.28,Shipped
OR1118,C1929,2023/09/20,2755.30,Refunded
OR1119,C0675,2023/10/21,10623.45,Partially Delivered
OR112,C0217,2025/02/19,204414.92,Pending
OR1120,C1917,2023/01/26,19750.86,Processing
OR1121,C0925,2023/07/25,45918.88,Refunded
OR1122,C1443,2022/10/26,470.82,Cancelled
OR1123,C0584,2025/06/29,1610.72,Refunded
OR1124,C0575,2023/02/16,333.76,Shipped
OR1125,C0054,2023/09/08,14438.34,Partially Delivered
OR1126,C0953,2024/12/17,8478.62,Out for Delivery
OR1127,C0697,2023/11/29,17696.46,Partially Shipped
OR1128,C1352,2022/06/30,77402.10,Failed
OR1129,C1911,2022/11/01,5432.55,On Hold
OR113,C0252,2025/03/30,29576.62,Partially Delivered
OR1130,C1783,2024/07/21,13317.22,Failed
OR1131,C0162,2022/06/27,802.40,Cancelled
OR1132,C0645,2023/11/20,5481.34,Partially Delivered
OR1133,C0659,2024/11/24,44828.20,Out for Delivery
OR1134,C0018,2023/09/18,823.64,Refunded
OR1135,C0271,2022/03/12,230576.31,Delivered
OR1136,C0549,2023/02/26,3581.76,On Hold
OR1137,C0781,2022/06/03,6663.46,Shipped
OR1138,C0817,2024/11/02,666925.38,Return
OR1139,C1185,2024/05/03,5777.28,Cancelled
OR114,C0386,2024/01/29,4560.90,Return
OR1140,C0216,2023/07/12,3601.70,Return
OR1141,C0280,2023/08/26,63761.02,Processing
OR1142,C0908,2022/06/13,2307.90,Return
OR1143,C0380,2022/03/19,113751.86,Return
OR1144,C0336,2022/10/07,4253.76,Out for Delivery
OR1145,C0520,2023/03/08,52656.60,Return
OR1146,C0424,2022/07/22,1337.97,Partially Delivered
OR1147,C0803,2023/01/03,2778.22,Refunded
OR1148,C0291,2023/05/09,51105.86,Delivered
OR1149,C0461,2022/07/12,226597.94,Pending
OR115,C1572,2025/05/12,2925.52,Return
OR1150,C0409,2025/03/22,2274.16,Refunded
OR1151,C0502,2023/03/04,58692.16,Processing
OR1152,C1505,2023/08/20,30910.00,Shipped
OR1153,C0445,2024/10/05,5793.85,Confirmed 
OR1154,C0101,2023/12/05,223634.46,Shipped
OR1155,C0256,2024/06/14,706.82,Return
OR1156,C0147,2024/03/20,8271.26,Processing
OR1157,C0259,2024/10/08,6764.14,On Hold
OR1158,C0773,2023/08/18,40435.76,Pending
OR1159,C0804,2024/07/23,6083.46,Confirmed 
OR116,C0485,2022/03/29,27404.58,Out for Delivery
OR1160,C1870,2025/05/01,85007.39,Cancelled
OR1161,C0787,2025/05/09,824.82,Shipped
OR1162,C0883,2024/11/07,141724.80,Processing
OR1163,C1032,2022/03/05,24177.02,Partially Delivered
OR1164,C0970,2022/08/02,6610.09,Refunded
OR1165,C0231,2022/02/21,39127.62,Refunded
OR1166,C0744,2023/04/05,16194.46,Confirmed 
OR1167,C0118,2022/06/08,120356.04,Return
OR1168,C0601,2022/03/12,158291.10,Partially Delivered
OR1169,C0322,2022/07/20,5271.46,Cancelled
OR117,C0195,2024/03/16,252890.24,Shipped
OR1170,C1267,2024/01/24,56695.46,Partially Delivered
OR1171,C1189,2023/03/31,1766.46,Partially Shipped
OR1172,C1172,2023/12/08,106224.85,Processing
OR1173,C0664,2023/01/27,518427.10,Pending
OR1174,C1542,2025/06/07,3266.76,Confirmed 
OR1175,C1996,2024/02/23,1676.64,Out for Delivery
OR1176,C0208,2024/12/18,56987.28,Shipped
OR1177,C0965,2025/06/15,17777.88,Partially Shipped
OR1178,C1984,2023/08/13,37156.62,Confirmed 
OR1179,C0813,2022/07/21,293.82,Partially Shipped
OR118,C0230,2024/08/22,19327.10,Pending
OR1180,C0179,2022/01/19,31423.40,On Hold
OR1181,C1016,2024/12/25,173.25,Shipped
OR1182,C1505,2025/06/06,7495.70,Pending
OR1183,C1310,2025/03/21,31007.86,Shipped
OR1184,C0858,2023/06/11,57892.82,Cancelled
OR1185,C0930,2023/03/26,107520.00,Refunded
OR1186,C0168,2022/05/14,7388.64,Pending
OR1187,C0538,2024/10/22,7771.10,Delivered
OR1188,C0593,2025/04/21,62.00,Pending
OR1189,C0974,2025/05/14,293.82,Failed
OR119,C0168,2023/08/10,34806.46,Shipped
OR1190,C0557,2022/01/14,198.45,Out for Delivery
OR1191,C0183,2023/10/11,16512.36,Partially Shipped
OR1192,C0753,2022/09/19,11178.48,Processing
OR1193,C0122,2023/12/30,81909.60,On Hold
OR1194,C1982,2022/06/21,4050.66,On Hold
OR1195,C0891,2022/01/06,1381.79,Refunded
OR1196,C0933,2025/05/19,51326.46,On Hold
OR1197,C1567,2023/07/11,16280.46,Partially Shipped
OR1198,C1960,2025/06/25,669.76,Processing
OR1199,C1959,2022/06/12,4126.46,Cancelled
OR12,C0191,2022/08/18,21823.20,Delivered
OR120,C1600,2025/05/03,8175.22,On Hold
OR1200,C0438,2023/12/06,172630.46,Partially Shipped
OR1201,C0011,2025/06/19,12721.51,Partially Delivered
OR1202,C0372,2024/08/29,5981.85,Pending
OR1203,C0345,2023/03/12,11335.46,Delivered
OR1204,C1672,2023/12/23,152170.30,Confirmed 
OR1205,C1076,2023/11/15,107490.92,Failed
OR1206,C1948,2023/05/15,8400.73,Partially Shipped
OR1207,C0779,2022/02/01,106164.60,Processing
OR1208,C0735,2023/03/04,29337.42,Confirmed 
OR1209,C1825,2024/12/29,1885.64,Partially Shipped
OR121,C1317,2024/04/24,10261.28,Out for Delivery
OR1210,C0091,2024/10/04,221740.68,Cancelled
OR1211,C1336,2024/11/09,28990.46,Shipped
OR1212,C0496,2025/03/28,100298.82,Confirmed 
OR1213,C0947,2025/01/31,101721.60,Pending
OR1214,C0331,2022/01/21,1413.64,Confirmed 
OR1215,C0423,2022/05/26,8965.64,Out for Delivery
OR1216,C0460,2022/10/23,77129.52,On Hold
OR1217,C1995,2023/04/09,1004.57,Partially Delivered
OR1218,C0354,2022/03/15,250617.75,Shipped
OR1219,C0690,2022/08/30,28446.34,Pending
OR122,C0310,2025/02/03,131541.68,Processing
OR1220,C0384,2023/04/28,1004.64,Cancelled
OR1221,C0775,2022/06/19,16396.98,Failed
OR1222,C0513,2024/04/15,21852.42,Pending
OR1223,C0647,2024/01/20,24939.87,On Hold
OR1224,C1758,2023/07/29,42480.00,On Hold
OR1225,C0318,2024/12/28,1789.76,Shipped
OR1226,C0117,2022/11/23,7668.82,Cancelled
OR1227,C0753,2023/09/08,2610.42,Pending
OR1228,C0037,2023/09/17,70796.46,Refunded
OR1229,C0014,2024/03/14,3302.82,Processing
OR123,C1609,2025/02/07,57199.96,Refunded
OR1230,C0742,2023/01/05,237180.00,Partially Shipped
OR1231,C0495,2023/07/06,4631.91,Return
OR1232,C0403,2023/12/22,203050.58,Return
OR1233,C0830,2024/08/18,135359.46,Processing
OR1234,C1357,2024/10/03,3538.82,Refunded
OR1235,C0716,2023/12/18,1532.82,Partially Shipped
OR1236,C0821,2024/05/26,42905.16,Pending
OR1237,C1706,2022/11/14,171238.80,Partially Shipped
OR1238,C0112,2024/08/09,2122.82,Failed
OR1239,C1506,2022/04/09,6840.98,Failed
OR124,C0596,2025/02/15,30078.72,On Hold
OR1240,C0203,2024/11/04,51100.43,Cancelled
OR1241,C0489,2023/01/02,3423.94,Cancelled
OR1242,C0344,2023/06/29,11797.64,Shipped
OR1243,C0486,2022/04/23,12619.84,Delivered
OR1244,C0144,2023/10/16,35931.50,Pending
OR1245,C1810,2025/06/13,163279.22,Partially Delivered
OR1246,C0734,2023/12/08,38284.05,Shipped
OR1247,C0678,2024/05/16,4598.46,Partially Delivered
OR1248,C0353,2023/05/04,92987.08,Delivered
OR1249,C0846,2023/09/12,8987.22,Cancelled
OR125,C0911,2023/01/11,4988.28,Failed
OR1250,C0780,2024/01/09,916.86,Cancelled
OR1251,C1892,2023/11/25,24235.86,Processing
OR1252,C0945,2025/01/23,15764.85,Processing
OR1253,C0577,2024/03/20,42462.30,Delivered
OR1254,C0398,2024/08/17,6306.58,Delivered
OR1255,C0512,2024/08/25,34572.82,Partially Delivered
OR1256,C1523,2025/06/03,8002.53,Refunded
OR1257,C0916,2023/01/31,8933.93,Processing
OR1258,C1754,2024/10/27,55434.74,Confirmed 
OR1259,C0619,2024/01/07,35433.26,Shipped
OR126,C1297,2024/12/04,119154.29,On Hold
OR1260,C1651,2022/10/27,6740.19,Refunded
OR1261,C0331,2023/06/03,53241.60,Shipped
OR1262,C1478,2023/11/06,17696.46,Out for Delivery
OR1263,C1949,2024/03/08,1342.88,On Hold
OR1264,C0754,2024/11/20,238170.96,Partially Shipped
OR1265,C0301,2023/10/30,7549.64,On Hold
OR1266,C0332,2024/04/19,669.76,Refunded
OR1267,C0415,2024/10/14,99085.78,Processing
OR1268,C0168,2024/09/24,9193.04,Partially Delivered
OR1269,C0900,2022/01/02,5351.85,Delivered
OR127,C0603,2022/03/19,206342.18,Return
OR1270,C0143,2025/01/09,1099.35,On Hold
OR1271,C0592,2024/11/26,22379.72,Confirmed 
OR1272,C0191,2025/04/02,39644.46,Out for Delivery
OR1273,C0359,2022/02/11,502.88,Refunded
OR1274,C1834,2023/12/09,13418.83,Delivered
OR1275,C1908,2025/01/01,893.76,Confirmed 
OR1276,C1930,2023/10/20,1176.46,Shipped
OR1277,C0421,2022/08/17,378.85,Confirmed 
OR1278,C0539,2023/02/18,120613.70,Processing
OR1279,C0218,2023/08/05,3322.58,Processing
OR128,C0166,2023/01/08,72310.16,Refunded
OR1280,C0738,2022/06/13,2594.82,Delivered
OR1281,C1584,2024/02/08,4700.64,Partially Delivered
OR1282,C1700,2023/03/29,173833.97,Partially Delivered
OR1283,C0877,2024/08/22,322546.70,On Hold
OR1284,C0256,2025/02/06,9318.46,Processing
OR1285,C1973,2023/08/02,70797.64,Shipped
OR1286,C0769,2024/12/25,37757.64,On Hold
OR1287,C0146,2025/02/03,4143.96,Return
OR1288,C1894,2024/04/18,32468.80,Pending
OR1289,C0457,2023/02/04,3087.94,Processing
OR129,C0051,2025/02/10,25512.78,Failed
OR1290,C0496,2025/06/01,113906.59,Pending
OR1291,C0109,2022/07/04,23830.10,Pending
OR1292,C0176,2025/01/26,101580.54,Shipped
OR1293,C0346,2025/03/28,19065.92,Out for Delivery
OR1294,C0933,2023/09/16,17398.86,Partially Shipped
OR1295,C1875,2025/03/30,32243.55,Confirmed 
OR1296,C1392,2023/03/25,111506.46,Confirmed 
OR1297,C0525,2025/06/21,6801.99,Partially Delivered
OR1298,C1792,2022/02/03,2361.52,Cancelled
OR1299,C0722,2023/06/29,6285.16,Failed
OR13,C0990,2022/09/27,2097.00,Refunded
OR130,C0870,2023/07/31,95564.64,Shipped
OR1300,C0383,2023/09/07,11034.65,Processing
OR1301,C0263,2022/11/20,2909.76,Partially Shipped
OR1302,C1586,2023/06/19,51517.76,Failed
OR1303,C1885,2022/12/17,7057.10,Out for Delivery
OR1304,C0873,2025/06/01,8818.53,Confirmed 
OR1305,C0139,2023/08/29,7604.44,On Hold
OR1306,C0826,2023/09/30,2308.95,Failed
OR1307,C0137,2024/11/11,8197.46,On Hold
OR1308,C0915,2024/07/16,2461.76,Partially Shipped
OR1309,C1683,2022/07/11,9673.64,Pending
OR131,C0907,2022/04/20,6505.34,Partially Shipped
OR1310,C0656,2024/11/08,447.22,Failed
OR1311,C0395,2024/11/18,143081.98,Return
OR1312,C1691,2024/12/20,1887.90,Out for Delivery
OR1313,C0012,2022/12/23,5470.58,Processing
OR1314,C0816,2023/05/28,37601.32,Delivered
OR1315,C0010,2022/11/02,47786.46,Failed
OR1316,C1651,2022/04/04,36694.46,Processing
OR1317,C0507,2023/01/28,60176.46,Partially Shipped
OR1318,C0235,2022/12/14,925.97,Failed
OR1319,C1555,2023/02/13,6649.44,Pending
OR132,C1658,2023/10/22,7006.04,Shipped
OR1320,C1675,2024/03/28,1565.76,Processing
OR1321,C0098,2022/11/15,12592.51,Partially Shipped
OR1322,C0881,2023/09/05,242353.88,Shipped
OR1323,C0662,2024/06/20,12880.64,On Hold
OR1324,C1265,2025/02/28,27244.52,Confirmed 
OR1325,C1996,2024/04/06,355818.50,On Hold
OR1326,C1680,2022/04/05,61289.20,Delivered
OR1327,C1702,2024/07/23,15197.92,Confirmed 
OR1328,C0060,2022/12/02,342.20,Cancelled
OR1329,C0603,2022/06/02,6487.65,Refunded
OR133,C0690,2022/12/31,6437.49,Return
OR1330,C1417,2023/06/23,85680.51,Partially Delivered
OR1331,C1303,2023/01/12,2297.46,Confirmed 
OR1332,C0544,2025/05/20,3890.60,Failed
OR1333,C1541,2024/04/27,6484.88,On Hold
OR1334,C0723,2023/10/26,12032.46,Shipped
OR1335,C0221,2023/10/05,1414.82,Pending
OR1336,C0061,2024/07/20,47311.88,Confirmed 
OR1337,C0367,2023/08/10,12386.46,Failed
OR1338,C0166,2024/06/03,5424.46,Processing
OR1339,C1509,2024/04/13,6117.51,Confirmed 
OR134,C0265,2023/09/08,15517.51,Delivered
OR1340,C0236,2024/08/22,30773.22,Return
OR1341,C0326,2022/07/15,51300.50,Failed
OR1342,C0062,2023/08/01,5289.46,On Hold
OR1343,C1778,2022/11/07,1342.88,Out for Delivery
OR1344,C0500,2024/03/10,1118.88,Out for Delivery
OR1345,C0323,2024/09/05,34888.75,Pending
OR1346,C0048,2023/08/13,41877.02,Failed
OR1347,C1755,2024/12/21,11538.04,Confirmed 
OR1348,C1853,2023/02/19,69715.49,Return
OR1349,C0065,2022/03/18,8030.91,Partially Shipped
OR135,C0596,2024/05/21,12361.28,Processing
OR1350,C0461,2023/03/22,70569.66,Delivered
OR1351,C0581,2023/09/20,9031.46,Refunded
OR1352,C0869,2022/08/13,273461.91,On Hold
OR1353,C0202,2024/01/06,3753.54,Partially Shipped
OR1354,C0813,2023/09/09,19250.55,Partially Delivered
OR1355,C0860,2022/11/16,5036.64,Confirmed 
OR1356,C0369,2022/02/22,706.82,Pending
OR1357,C0545,2024/06/19,6994.86,Shipped
OR1358,C1043,2024/01/16,62221.34,Partially Shipped
OR1359,C0616,2025/02/02,3357.76,Cancelled
OR136,C0906,2023/06/10,364647.13,Confirmed 
OR1360,C0306,2024/04/08,4057.76,Processing
OR1361,C0102,2022/10/01,36565.84,Refunded
OR1362,C1927,2025/01/30,61796.91,Partially Delivered
OR1363,C0414,2022/01/28,6307.10,Processing
OR1364,C0159,2024/06/07,4364.64,Refunded
OR1365,C1496,2024/12/18,2484.58,Out for Delivery
OR1366,C0232,2022/11/13,6346.21,Out for Delivery
OR1367,C0036,2023/07/12,10496.10,Cancelled
OR1368,C0178,2022/01/19,6488.82,Failed
OR1369,C0578,2022/11/10,352.82,Processing
OR137,C0906,2024/06/02,118109.18,Delivered
OR1370,C0042,2022/05/11,116812.47,Partially Shipped
OR1371,C0330,2022/11/23,13436.64,Partially Delivered
OR1372,C0084,2024/01/10,14630.35,Delivered
OR1373,C1718,2023/02/14,36661.16,Delivered
OR1374,C1992,2023/06/23,24422.46,Refunded
OR1375,C0920,2023/12/08,4807.40,Failed
OR1376,C0015,2024/12/12,10968.10,Processing
OR1377,C0785,2024/12/13,59467.48,Return
OR1378,C1461,2024/04/04,8846.46,Pending
OR1379,C1155,2024/05/05,242013.26,Cancelled
OR138,C0026,2024/07/03,86261.01,Partially Delivered
OR1380,C1266,2022/10/27,2124.64,Partially Shipped
OR1381,C1935,2024/12/03,15932.22,Confirmed 
OR1382,C1037,2022/02/25,5386.25,Partially Shipped
OR1383,C0586,2025/02/23,8504.52,Cancelled
OR1384,C0622,2024/01/20,668.64,Confirmed 
OR1385,C1387,2023/04/27,895.62,Pending
OR1386,C0870,2022/06/30,16298.58,Shipped
OR1387,C0244,2023/07/22,20058.82,Partially Delivered
OR1388,C0727,2022/04/08,23863.62,Failed
OR1389,C1909,2022/08/10,17654.28,Failed
OR139,C0564,2024/04/20,79688.56,Shipped
OR1390,C0778,2024/04/25,3705.94,Cancelled
OR1391,C0357,2023/08/20,33868.22,On Hold
OR1392,C0109,2023/08/22,56687.18,Failed
OR1393,C0565,2022/02/12,234.82,Processing
OR1394,C0165,2022/07/31,2282.28,Processing
OR1395,C0675,2025/01/09,8493.64,Partially Shipped
OR1396,C0048,2024/06/11,7525.42,Partially Shipped
OR1397,C0729,2024/07/27,131995.84,Partially Delivered
OR1398,C0287,2023/05/26,212397.64,Refunded
OR1399,C0084,2024/10/04,16057.39,Refunded
OR14,C0025,2022/06/29,20571.04,Failed
OR140,C0919,2025/01/01,21762.25,Confirmed 
OR1400,C1811,2023/09/19,14404.11,Pending
OR1401,C0107,2022/05/08,24315.24,Return
OR1402,C0808,2022/09/08,23612.96,Out for Delivery
OR1403,C0632,2024/05/25,824.82,Pending
OR1404,C0583,2022/01/30,141590.00,Delivered
OR1405,C0120,2023/10/20,3242.64,Refunded
OR1406,C0373,2024/09/27,121159.26,Return
OR1407,C1554,2023/07/26,6679.98,Pending
OR1408,C0219,2025/06/05,100764.82,Partially Delivered
OR1409,C1896,2022/12/20,12202.52,Partially Delivered
OR141,C1015,2022/04/26,203498.42,Processing
OR1410,C0735,2024/09/24,2240.82,Refunded
OR1411,C0957,2024/07/22,54121.88,Partially Shipped
OR1412,C0986,2024/01/21,371816.09,Pending
OR1413,C0763,2023/01/05,10302.28,Out for Delivery
OR1414,C1762,2023/08/02,1414.82,Out for Delivery
OR1415,C1114,2022/04/20,56636.46,On Hold
OR1416,C1741,2022/01/21,86529.36,Delivered
OR1417,C0183,2022/08/07,3485.57,Out for Delivery
OR1418,C0492,2023/02/04,6569.46,On Hold
OR1419,C0714,2022/06/25,4468.82,Partially Shipped
OR142,C0137,2025/04/19,8953.56,On Hold
OR1420,C1508,2022/11/11,782.88,Confirmed 
OR1421,C0450,2023/02/01,11208.82,Cancelled
OR1422,C0718,2022/04/03,781.76,Cancelled
OR1423,C1206,2024/01/10,4354.71,Return
OR1424,C0598,2023/12/07,2120.46,On Hold
OR1425,C0198,2023/05/08,27843.28,Failed
OR1426,C0388,2024/06/26,66906.00,On Hold
OR1427,C1668,2024/02/19,126854.92,Pending
OR1428,C0586,2025/03/04,4598.46,Out for Delivery
OR1429,C0885,2024/12/05,10608.70,Partially Delivered
OR143,C0610,2024/09/25,8926.16,Shipped
OR1430,C0855,2025/05/22,6845.27,Cancelled
OR1431,C0711,2024/04/01,12637.58,Partially Delivered
OR1432,C1511,2024/06/26,16826.40,Confirmed 
OR1433,C0460,2024/12/11,13535.40,Confirmed 
OR1434,C0216,2025/02/02,3098.16,Pending
OR1435,C0689,2024/07/30,4718.82,Return
OR1436,C0219,2024/05/24,2828.46,Partially Shipped
OR1437,C0912,2022/05/19,34206.94,On Hold
OR1438,C0540,2025/06/10,8248.58,Out for Delivery
OR1439,C0764,2022/12/29,37049.10,Out for Delivery
OR144,C0542,2025/03/04,14601.19,Partially Shipped
OR1440,C0250,2022/08/23,125183.10,Cancelled
OR1441,C0517,2022/01/17,11536.86,Out for Delivery
OR1442,C1545,2023/06/08,1001.82,On Hold
OR1443,C0606,2023/12/23,5189.52,On Hold
OR1444,C0670,2023/01/29,27961.96,Refunded
OR1445,C0643,2023/10/12,352.82,Processing
OR1446,C0525,2022/12/04,15949.56,Partially Delivered
OR1447,C1912,2025/05/14,5872.86,Confirmed 
OR1448,C0015,2023/12/15,9929.46,Failed
OR1449,C0400,2023/09/09,6111.81,Refunded
OR145,C0610,2023/06/03,177954.58,Partially Shipped
OR1450,C0681,2025/03/03,588.82,Partially Delivered
OR1451,C0821,2023/02/07,11982.58,Cancelled
OR1452,C0031,2022/05/15,3538.82,Processing
OR1453,C0653,2022/04/04,504.00,Partially Delivered
OR1454,C1619,2024/10/28,161573.55,Refunded
OR1455,C0315,2025/04/06,71415.67,Processing
OR1456,C0201,2025/02/18,13802.46,Out for Delivery
OR1457,C0659,2023/05/11,46018.82,Processing
OR1458,C0256,2023/01/27,2240.82,Partially Delivered
OR1459,C1983,2022/03/21,225552.28,Pending
OR146,C0119,2022/04/16,33647.43,Partially Shipped
OR1460,C0316,2024/08/30,2238.88,Return
OR1461,C0352,2025/02/09,2828.46,Pending
OR1462,C0435,2023/01/24,1571.85,Failed
OR1463,C0359,2024/06/18,147855.02,Partially Shipped
OR1464,C0784,2022/09/19,252.00,Refunded
OR1465,C0051,2025/02/28,3143.98,Refunded
OR1466,C0416,2023/06/29,4253.76,Confirmed 
OR1467,C1926,2022/04/11,41248.54,Delivered
